sepal_length,sepal_width,petal_length,petal_width,species
gAAAAABqhp8-dnmrrS8No8_bQF9bLLNa-t9ArQBGl7s7B8zHz3DPdpm57GuSQBQN4-R50MXRNv_isApJPPww81RrxHIrMQWboQ==,gAAAAABqhp8-9NSR3qKaiFmSbQ3xO5oHhCdBWqYfoFGXw-4wpuC-3RAW9F1VUIFRvpH3nx7KHNz3ZaiVL2Q-IEwCAG7L08ESMA==,gAAAAABqhp8-yIFhpIx_o5yRZIvwSvM4Ho8v3v8xiXGZUw1eIye_Q5pSm3y4jhijPV_VzEG5jlVqCkjtuy7xnEr9F5lAEoP-Eg==,gAAAAABqhp8-mEvwVjCEQNhPQuRWCM2_bPIGhCCihQZiqoJ6B1mRlCmQNmHrwiUkZqOcOhbew_p-Asc_Ov3zoSFhq8M8r645rA==,gAAAAABqhp8-UtBWFbgeCYhB4xFZX7QSxS6WtDfbtz3JVk2YiLnPgmJCGiuTmayE5waBDiocqJlbm3sWX716TXoI2YfuZF6Gzg==
gAAAAABqhp8-FsdOVLlrCEydZZbOwe8ggpqxj3S-PIEB82XoJCdokJn9ibJqwXgTfqrTnUtfFyw23QVggrmcLUYXK7qyZabvDA==,gAAAAABqhp8-ic6UceLk_w2ug-zVqA7-iKdqrcu0RxsSA6LlPcm8kya7ldlv-KZ75o7TBa9y1D2FFA1ZDiBM-8Oh5qhvlmevmw==,gAAAAABqhp8-B7UBft66asLfPe8vmneuz47tEIyvZeSM5NfwxPmHCp2uqlgAdsVFJcjNYhp6EM6f4FQvDjBIE9AjSjd9x6W81Q==,gAAAAABqhp8-cGNMxPwuUA4Mmq0BsBF7y000K7mFhtoy81lFZY_i2RUIkFbt9Z8ZXJWagya6oXMJCnOO8ptvRrW5WpA2I7M9cg==,gAAAAABqhp8-ZgPiqbKTYZY5TH_X5m6ZSBpCPlslDFKCIV0DM3GlDwkOgeQDaZedzL6yN0RBmq2e5f6xDhI2b7YxadL48R43-Q==
gAAAAABqhp8-YH9ymb7bUFUfiiY4chaIsNeHCgC3_ni-_mgF-5v2Zwff3pIcZQDCpF0z7UkHZum_g1jYrYKbssHRkyKouPm1-Q==,gAAAAABqhp8-6LqXDVi8wzRyoQOC0lEdb2y3NyClb_04EUreUCP8Uu8GlcLUt9a4VreTTkoZ-L1Iwo-oF9lc4OBd1iyjTfFXfg==,gAAAAABqhp8-bqghbQtryDI60sAFkrxU89CCy6pYv4t69qaSIQlgHLRYFW-3RiqT-rESgqFyV0NVTnKBc63OvuFr6mq4SkFM2w==,gAAAAABqhp8-0_wwihTLwSTWSHyBXd1JKEbJ2LjbqvduFPV__o75hHJnAJGPFwqCJhVsOWevIrlJlXHIipRORMiXeckzyXq9LA==,gAAAAABqhp8-S4Bw5x05C4JUrYPnomei5B-N9NWs2Fx79UmE5KwiwIXqUm2YU_H19-PSJCKXrYsTBxF_PbEFwBjvy8fLqR55yg==
gAAAAABqhp8-1fBNRM2zzuxarw4vfoOYRty0k1tPkc9SENzq_fiNaWvEZw02IalqFvve1dbW_oXNoxNrEaVD2QceC8SO6pjuyA==,gAAAAABqhp8-GIXHUCi9Q2e-PXtqqLyZ5w6VvK7h2Fr6kPEiMzk5nIwErxD48kRSipl4Xvqup-ktIoXYclrmEvdxyqk4dqJgKg==,gAAAAABqhp8-nuMcE1R2V9t5hOw5yv-7ptyxOA8fIzlogD1ou7mFqz2zS7E3GjSYfMsjedqgKogLuvUAZ0inYgz66mEvChqczw==,gAAAAABqhp8-AtHqm66dYnrFVODvSm_UlMsWXjMNL5NubaD7zplCEjlFTM8j3ex5rg-R2Zus0DUjWbjeCmjPCC-xV_M6a4ia8w==,gAAAAABqhp8-kKzcJXqPnUIzKpUbC6Erst3rKZEGBM27mqZUtcccsh4-8v7bSbLCDUtQuhmZe3s4QqNqNOtj4ADyNfb-HMorzA==
gAAAAABqhp8-tmbM_HK4lbI7oGKj-koVbA6PVOb9gf63N4TL7_EFndQLR9xT2X2-oJhgr6SWFohsNZCUiE7fWbLs-UeR5o7Gyg==,gAAAAABqhp8-50MnsVfqOMxFMJWvPy7IF8nWs4MhOu5jcCUFgZYfLqNi_YI3daihKhNS25fUoH6SbKO0nLOUZC1j42vAm-ioJg==,gAAAAABqhp8-w3BqfWPgYKJGyGk6kBG9fz4uYMiF61VBHCk5hAchhnw1UE3xW6NTXxVKDM8P3NkUUWDfn7gOIffTHZz4P5Y5rg==,gAAAAABqhp8-SuwZ9qfxOcRhfAtdyGKvlhGBSs3on3w-JwxG048VGgp8jBYiwg-emsYqKfqJBosTZ24he9sKkfB4A1zoFZ43xA==,gAAAAABqhp8-cA65afGzxVpOyzHgHCyGEHXrpDEB5peg2bu2XBLluJVR1BP4tVSxDJa6LDhN4k8ounmG6nysCqHMrCG_3jG1vA==
gAAAAABqhp8-wf5X935Oa_R2h1-awh9XlgKB3rUc2L2LxoMKh8vZh7NEjmwPYiQgXKYv4BG7JZhYsPvFsbch5Pok2WKE3IwuOg==,gAAAAABqhp8-BeFkte9ejTBMvmXXIGxG83Urbu9bQJvQWrhwRg8itiB1DQDpk3sIFVAR7y3xxreh_GAKQnf1KCubGvKZinRuPg==,gAAAAABqhp8-Obpb_B1e-xhjGmosTgE17zgF6FXwBHY7UHYiSniIqkB5FPwYdWqi_q99SQ0xIBVJZ4FK5skD5nn7zr-4N1Cthg==,gAAAAABqhp8-CIknUis2QgCdk3sx003siwnzgSBCQMmnCpB-IsvZmIwy9nJmLNMSG2jAOEakXUQH3dffnEMLDe-ifMBbh4jJqg==,gAAAAABqhp8-jyWAUCumjqBUL7vOQ4VzUpMf59wUUhFtV7kML99D7JtY8lxZ5H2osrBhawq_8Zz3i5w86gGT_xtyFEFqj3y78w==
gAAAAABqhp8-nHn5dbxezre_PmOay0vBEY5U9B72PYsFUKNd0bBlLCYyZH8yrorPCT1UT6U4zYSTe8CcTj_d97Bho0Fgz_e_wQ==,gAAAAABqhp8-TJqlogGeX6pMdfBEWaXiQuzm_40CNZaDzhWFyxYnh3_iF4fW9Na8Xo10yr7wJOzaWt7PNATWcMZRbjBAMSb3BA==,gAAAAABqhp8-XmxknHWu_rL3C7WbRFz8IFzSDYU_o27qilR5fRCbnPjtrnqsekbXmEdPKvkpZBJIPYKSb8ssE5DFwVBVay4w_Q==,gAAAAABqhp8-9zSBj5GxhpXCketRYBrPIIh_0PLqn2387Fc2ebzJDxD2-lfgCKhrCg5YZq4dJ-HThIfaxM1M801aw6V2ttZFxQ==,gAAAAABqhp8-FNqCFjRjpYhLawEELt5mB4Q_hwTkhJJvxBrCui_0BJP6DOtzXV-Sw8xYA9UbM5AFg5Y8hqifSp7LQNGXlScMkg==
gAAAAABqhp8-W8mz1yB2Fcm84khSGLStm4R39tqzt1sLRTvHXfd4j-6HElg9mpT17GSkct4sh49RLJYRO-owQeSyxMrxYNTkuA==,gAAAAABqhp8-hewOFjBhAtvGXh5RaxWVPtC7cKCzDzwA47zibDsN2NhCUMaOAdDrAWjbQKU-T5lNScFpqSdI2sLN6kUiGLhOnA==,gAAAAABqhp8-4HrrDbhbJO8LCLpI-EotlMyRM4o_sjNrs6ZoZy13v6Y9f3QVlLKPYfLg-Jl3hW3J_QUGvemwvEoRS8H6l_lrzw==,gAAAAABqhp8-9Qia_j3GJmFSmOUUNMHBO5SwydfyGLDtuz7w8xklzXceNbEGEGQXecvAXO6jP-pgcTFwdGnimDnceEtaOoCChA==,gAAAAABqhp8-_hlnf-NiwUPbPD0fmmjffU_2JqzFmHgqOL1OR75fIbJfVOmXKT03OYSGVtl5vCr7Mpt3CdF2rZYGGBTiA36_Dw==
gAAAAABqhp8-nf9QdRYO9dNHjY7O6kgOi-t6gqEqtN8gpbAez8YrKurpXhmtcfjUjyWV69OvnKOAQdiWF6QxTTHj6O1uad98mw==,gAAAAABqhp8-badT-u1oFsUELeXMzO_MzvwSvEBZ0Nybml2gC4pDqao9cY3WCK4XoAwWCFVDGOFKY8H6hZ95DlmqD7DZp3eMTw==,gAAAAABqhp8-__92j2o9TcgVlS7qXPD1AqMfQHuebWZhfD9Ke7-HqsdhVM0nN-f7Emcx1p8IVhDr0DS2hE5ninAd3ZHD29uWeQ==,gAAAAABqhp8-XzFm2-_kSr9EK2lBH9lwkR9UGUTmJP_uQ-dtpK1EwShaYddW7hLlyiTUFTxGek1YXrS7OL0afGMjGNImzVQk9Q==,gAAAAABqhp8-WVRKiqSg4EJ3shxGnokQ9IXlEC-NMWa67LpFAbqZdSr93LXeR8F-LfdnHMB7W-Tdt_JQveTi2viAEmBVcAB-Mg==
gAAAAABqhp8-fjn-JWEh5I-GDxO7-XFq7SyPjBvtisvnACtoDW-nQj27JWVxhMVq5FF5iUTDGHIClr2iwbpYMeaOEkPECYEdsw==,gAAAAABqhp8-ak49xzr-Ig9p7JqIPDtmJ1Y5RhEbodIYax9-THOKQtf2FlMlrryNOvo_K0onBsL2UtPg28iXfkBNEQQPXiSGUQ==,gAAAAABqhp8-IDB0k70xmIgdKZNuds6z8kzD4zboe1x56_3zsPNdnImPrq3ZuXjzc-xq-RJKEkRF-WJtvvSyqIxhvGO8RM2_mQ==,gAAAAABqhp8-xvpbAAYz6bIF5twIvDy5gFc6seCpbSRoJRDmt5UfqcPE2YqvB7VDXCUPrwRI9fptWH9OU7UnJeZSGd-0pROSWw==,gAAAAABqhp8-E7ajjbXsuBrWJKX-xgLfHJ3T_1-dj-t17trVbRGZbnsD4_47_RHrPRLEoBzJQNq1fQRKhJPczw3udQXhLxXfxg==
gAAAAABqhp8-jucbtntTo-GC0o3D4OV_v3GzDjK9WgMRFWQzAEdJE1PvoMOFdUAjBxg2OpY8LiChmXukQzEikZnMjXPpU-3mbw==,gAAAAABqhp8-_r1jVbvDnrw1UB1v99spjxG10IBvQNb0opD-d2TQd08lcuFFu6zB2BafGVnublRaoLIBmcQhdRARgCCJoljjJQ==,gAAAAABqhp8-hrfM2ZItiK8ZqfXD8QsFA-HmpYyoxO-Sh_1NWDWyyIXyORsBOksiTr7zWM5o3JPYnOjTOMUhzLwb5PnUReawTQ==,gAAAAABqhp8-PUDVTYw7yQ9g0mw9pkYV4q_2_c204iYcTVsORFDdV4dXNUJasMilS8hWwpyM9t6TWlvRgQ20PJLi2Kla1NvjGA==,gAAAAABqhp8-blT4kun0teHopMucYmQ5PIvqWQPuBsmzvJo1E8w6eh1HiKt91-x8DkOAnCZvekeOZc6gUVGC_ceC0m_z09FCdg==
gAAAAABqhp8-RlpZUeGfhT8jbhI4b74J4FZ4JuUTFSbTzn8Mh-tq962O1OHQKBBtTdmO88GLsBewTCbAwNpGn-sS53wB33RNOg==,gAAAAABqhp8-BdkgEdqkcDoVM2ZnesoIsAzlSzjn8Y659CkA38PWeqsGVRBQJDBG0GVyCJCovnc7Ph5lB1wDKOX2VgUPNmX_ew==,gAAAAABqhp8--8hu9Qxis1MJWdz7FL5U4pIrmH8hacZH-SA46LZ6tL-_QGBxkENNzrCWutLKSYWfMev6uZ4vtNBmJ-Nfjj7rHg==,gAAAAABqhp8-qLSuoDbWoMIHZwj0Wq3FTugSjGqHomMVc5eT4zrUSmYI2Yu6xy0RdUtI9cQVvqAyIkLyOMSNShlJuffZ7Qk1ug==,gAAAAABqhp8-Xaj0x58LQF9QTOyKjy-L0rH4ecEqPkC-WQiTisY5sCn0VHPcKNZUqE5-JnaZ0jRQ3dqZXyreTaeGmmmLkI29lQ==
gAAAAABqhp8-Dhgqm41JPuOwvP5f9TTH5Rq_Y1v_ix-LEjFd6Eb13_4xBreE5oOVgwsCLWrFvGlwW28mpRsFxz3bJ7O01fxpWw==,gAAAAABqhp8-jGHo-hVSeZYmpdt5ng11CdtFOPr6t_aSvJ_sn-rLI4yVtGC4GJuPziWMFy1oyMDffA6SmYBYtRiYwsUoBRK_nw==,gAAAAABqhp8-KK9kGmHFo2a0NE6xKniTK9eIsLed-bIlpXgX-1WRKJ00GMXF8B435wgGBQhupoODXXJvsXdYHmkY_Y6CXfkVTA==,gAAAAABqhp8-mok5UYcu4K1P7D9fU4kov63Y2llss-AkJRbYvoZHvfSv66onPkmJruyUGNoGzTBt_Xt_C7QkzqOGOHTZ95nlNw==,gAAAAABqhp8-r6arIW2UR8AT3XL-NkP1rEZ6aCAQf-XD_S0M7-lknsWU_0oxnweWWyBNfKMEE0P8JqbWFj3ux4tjghKj4Zj_jA==
gAAAAABqhp8--dRMk-pWyPraf0U5bE3PLX24LmZeiuCgjjtDZVV3XqiXk4NIx4ZUtk2Zzfv1_8vmEPlWtbY8uNTraxM0S2wq1Q==,gAAAAABqhp8-2hf2LV5-PyWUUgCoI3XPtPnb1W7R3T2lemSNg8Nxko8EMKuymp3fA0NGfDFXrwo52FLrTirb49UDpWJI7tR8VQ==,gAAAAABqhp8-VIOjZDcBQkTeGuwtNJEcnJ8D23QYdGTfbdO-lE29cHLCTzhcp1z324gw-wxDOpr2t7PXvCb6bcwreaG4_VtTPA==,gAAAAABqhp8-gvCBTZ9PHK6dBf_xzgTxSYr5GwhX4IsEr9dQajHJAPR3LMcqBQ9LUEKF5QHrd6LEJrV8NMHdcdF03hmXZAHFdg==,gAAAAABqhp8--1jiLqTwWqb9G3_gjlvVM3pmgqXfI4CyndSDIfZHKB5cfmbSOuJssgWoU5LQaTJteFD_aPpp67qvKJILAFrwSw==
gAAAAABqhp8-oVh-jRHqMKsfaVJ-rSvLkdNogtwzCsEGYXh8yxZmaQyrudd9w0f6O3xP2pUkObAaB6Om_9KeC9ILg9_RIEIqQA==,gAAAAABqhp8-INAwJ-D8Fn3hRpSsEP7UI5WBgpKutWBZ7iwewcvXrhzi-c-R3l87EVqKeZiB2_sAg5HFknYU5G-jpWz2M9Qqfg==,gAAAAABqhp8-SLmbSeDgWhm5JWkG9P_cjCrhxG_z2rdC_O3tBURgFU5v_20G_1Y6RQmkeX6RLSN-O6ZkqcgqTjyKhIQkTLxMdA==,gAAAAABqhp8--_uNxf0BLLiWwtkLw-Plt5Uo4UB56cXIy-J-QS3lyvGIHflDxXEy0Kqgy9YeedJjSBxEDWvMIbD_HXJP2guqeg==,gAAAAABqhp8-KD6pBSMqdeVkCBt84R6889PWmlFqKrMlLh7-BtvLUMHpAyPe07ECetVjXZNqf5HgEcAIFujWZ7-bRbyRPavsHg==
gAAAAABqhp8-nvDrkKCgtPjyDd58CUULh15XspGdr4u-jdfyoqUMWyrPj-q1cyBBJi4fFKttuaf_6E0nN3OOhTJW60-WuY3AfQ==,gAAAAABqhp8-OIUpQnkDxmVz6KHDlue8TGqr7Et4QeGY3btVeCas1AJ_1MS-371c8YVTi8zEiUg_NgoZ_mMG0Z9F1-VraXhBOA==,gAAAAABqhp8-jGwLxEAm7-ios39nxQhEbTmBE4ZzJU86icYokYPHjeSFgbBZtWqcW5At-6hbUyxGpcBldnCbBX8vcgekz7EzUA==,gAAAAABqhp8-mLFVeJQBvEhlAjMTQyZKh7am77iDRRvLSogNXKaUDwqSTz1CjmFjvaA2RG2YC81FRp1Z7ApPVA2602DJfZb8Xw==,gAAAAABqhp8-ZH-TP06wQG1jC7IHyWGM6LwUQpq8IYRM7uFnn1b09zKGtvCLK8XRuiwWW6_LKkheP2cAF9qAPpog8X7uyfpm7A==
gAAAAABqhp8-BAoBtMS3LD0P3ge_GbI90EkpSYJo6r8M_5BkE-u4FCeCUzJx0v1Vy7zU79bjV64tO3syzDjh8QAMYz1XaJ9V3Q==,gAAAAABqhp8-_iYuPygP47GKTIqrMkpruvfv-dyZ1UQ828FLkPkSNmdSZsqE_Ce5KXoAPJ4ZlTV9Yj2OuvEamCVbhEH5a9WyYQ==,gAAAAABqhp8-YjTfqzNlkwRRABXCSh50GTLzUiVyZgaQtlpq155gGqvo0mGzSRub-sCT4b6gv-WzhmzsABjMaJNY2oo70tuxIg==,gAAAAABqhp8-JsTgcmpRtSsInaliHQHUgvwvq02PH95zcKWo9FcuBOrmwyYtAnM_b4SDrgiK5FfIZj6zlNf62S3uFN9OE8Op_Q==,gAAAAABqhp8-LGC_gggPdCsvmfpObKARwbECLCzlUZUdP96zEst1RRCopHVd3Aa8pNY6LJaIb1U3a0qLQtTKmkRIuU-_0tv83w==
gAAAAABqhp8-ROgm7_CgsNdXCAR1Jb_vpnKINKuDmKLj-BYZqwdMPqKNjzECZ84DgqQZRCMSpKNwK7Up9pcjNsIWRi2GHVzyLw==,gAAAAABqhp8-4lUwwHZd5hLVfQCijnh7yxZZNE_9BIVgyAcfbGMZOAXyse0m7GwdpVa4ZZFSw_nJ_tBOtarWB1K9OT7FxaERaQ==,gAAAAABqhp8-JB7nw6auLCnzi0AgG4XJ2mtKzdYlq7eizx1y8jhw88BIUteCk5nfwAWu3zEtE5yEG3tj2rmT1PAPWnxx9Zf3Og==,gAAAAABqhp8-ZlHM0lIq5aZUjnIdtAh7A0D3fALJMmQLUL2ZJCTGrp2Hy2IkKsicNG85YA-M7Mf4Q-0G-0WQeXoFGdlUfKPtxg==,gAAAAABqhp8-yMWwyZC8LXzS-TBLdIaf209u-BMwh34SzB6zS5qMH8EBvhyMbCBAW94VB55E1OkNLz3O6KzQQKH7JOASZ4rsGA==
gAAAAABqhp8-yq-gyXqS25MdpCw4V2V8aP3eIfx8BwaE64OMt7On07ZPga2TUg5K2vd6LWndWRXehF7C6eMiJ6PwFMCOGDpyHQ==,gAAAAABqhp8-B1Tzz3Zc7OrJqYnVVb9b7ZXvYkvTJsfniZLKpQkUhMYCmunST2g8Z1AEUcAj2E-p_SbF83xP2a88mm5m_1wNkg==,gAAAAABqhp8-xuJVqywqdK7798osoxMIqIk7pfRFMsH-yYmQDvORD8R3J3XWdRbgCd6Wi8i_Rut1-8rnJG9T5EIn1D9T23MHvg==,gAAAAABqhp8-uDfwvoM6EZZFHJtetz_M7Z2-UhSu-UR7npf4SRFXv519aVAhSBpICDUJCzGnjlqxxUMN9WdJ3VA2xi2HPxJZKQ==,gAAAAABqhp8-USpvmCb3nZXajGdRWAAgFoKKJGTtZ5fGGe9S11H1wvsO38IyxMm8KjO_sSSZ0Fj8W-3a65P-BNYcqPgoylhFTw==
gAAAAABqhp8-5bxB0VqqVNT8WzwDPDUhV171M7d2sM7LgxjgTA6u78znIg773ih3Zzzqkh2JVJ0QNyq9jzhlrWHsx1nNOrxbWw==,gAAAAABqhp8-44JEOlKkwALKJcMs15umJwKyf44k51-g7GnVkUKYkxhDkaE51m2YykDGCzfZT_YVQd0oap7Ot2M1v7h2D0FcgQ==,gAAAAABqhp8-AWe9h1sPYa0uNe2n8hQXVWBEFHSI_bboWj-GzAqT4l_gGKIKJnePLCRp_FJZQX-yVYT7KVvGiyV93uiMjvjh3g==,gAAAAABqhp8-iMvTFcrCCtyelES1qm5mrovDqrR6zE9kE9MAbykGkxGfJeka44T0yB2XA7JFhssucHAKxutdOs7-gH1lblU6Mg==,gAAAAABqhp8-MWgRBPXW6YNruYwoz5xd8tymfS70yDNGV0DuCsCXRNGN2RTU9g9Sog3gJXEFLofztyqyoWzvHaJdIklipfXsug==
gAAAAABqhp8-LoydxM21ZZMI8tY2OSdrPCGun33ViTeTAgX5gqhaN5yPLUUe34AlEqfGI7b7wsOqg-0NzTSxoaOa5qF7baBsPQ==,gAAAAABqhp8-2PzFE31mc051_BtSZfhPcgwesrKg87c5N0BzTAaXPSJJh5HDeccfSKANBT1lEIBSeH2-1qVNmzKGyqjpAXUbOg==,gAAAAABqhp8-eD6Q92kndo7UpTNqzTcBQ1MJ9yzE9JMVzM_drczTwtzgztKhxcx8yCB2o1Ds3zg4E8O4ODPZHxEbdd7eCSFoqw==,gAAAAABqhp8-sYBMbUcv74GaNsxVUl67nir6bUD2ZRbvIZM4DXDE4_FY05cBwvmm84WopCFU7WkeilBp-IpB6bos6El9yBOowQ==,gAAAAABqhp8-qAEjwDom-AwRuzPjTj8IfOKJF_BjhfbCYWtqshzUIQiu7rVR1cWzLBwaPvhe2pDECyYB8PPpSADn8mb1EatRUg==
